station_id,station_name,latitude,longitude
740068909,Albano,59.356325,18.055563
740066607,Albydal,59.357092,18.008532
740046239,Ambassaderna,59.333225,18.10416
740046225,Anders Reimers väg,59.31847,18.024988
740046157,Ansgariegatan,59.316926,18.046459
740071562,Ansgariegatan (på Lundagatan),59.318292,18.045846
740045404,ArkDes/Moderna museet,59.325171,18.085219
740015539,Artemisgatan,59.353992,18.102328
740021720,Aspudden T-bana,59.306449,18.001445
740046032,Banérgatan,59.338842,18.096243
740045991,Berwaldhallen,59.333106,18.098686
740075295,Bobergsskolan,59.35714,18.092885
740046161,Bohusgatan,59.306518,18.07807
740046127,Bolinders plan,59.330019,18.050572
740045954,Celsiusgatan,59.333761,18.038217
740046025,Dalagatan,59.341459,18.044858
740046147,Danviken,59.313014,18.108557
740046148,Danvikshem,59.314213,18.115945
740046234,Danvikshemsvägen,59.312956,18.11593
740046144,Danviksklippan,59.312528,18.106083
740046143,Danvikstull,59.313952,18.100716
740011060,Drevergatan,59.359167,18.094006
740046216,Erik Dahlbergsgatan/Valhallav,59.341476,18.091005
740046000,Eriksbergsgatan,59.339576,18.067586
740046090,Eriksdal,59.307664,18.068979
740046052,Erstagatan,59.313971,18.090441
740064035,Eyvind Johnssons gata,59.339752,18.008007
740046170,Fatbursgatan,59.314459,18.061895
740045970,Filmhuset,59.339265,18.104902
740046139,Fleminggatan/Scheelegatan,59.332876,18.045312
740046075,Fleminggatan/St Eriksgatan,59.335027,18.032957
740046142,Folkungagatan,59.315652,18.092364
740046104,Fredhäll,59.330046,18.003161
740045995,Frejgatan (på Roslagsgatan),59.347888,18.059488
740046040,Frejgatan (på Upplandsgatan),59.344398,18.046792
740046111,Fria Ukrainas plats,59.327126,18.017592
740045984,Fridhemsgatan (på Kungsholms strand),59.337189,18.032044
740021661,Fridhemsplan T-bana,59.3322,18.029187
740045953,Frihamnens färjeterminal,59.342564,18.118908
740045972,Frihamnsporten,59.340475,18.114178
740046214,Frödingsvägen,59.330586,18.00309
740046213,Färjeläget,59.3084,18.097251
740021653,Gamla Stan T-bana,59.32316,18.06762
740046150,Garnisonen,59.336559,18.094823
740046088,Gotlandsgatan,59.310553,18.086137
740046055,Grindsgatan,59.308446,18.067397
740024923,Gröndal Spårv,59.315773,18.010355
740046197,Gustav Adolfs torg,59.329846,18.06889
740021649,Gärdet T-bana,59.347203,18.098792
740045968,Hakberget,59.338319,18.101463
740046006,Hallandsgatan,59.310535,18.06708
740046206,Hangövägen,59.348554,18.11128
740024806,Henriksdal station,59.312276,18.108156
740046149,Henriksdalsberget,59.311173,18.117215
740045989,Historiska museet,59.334677,18.091533
740046164,Hjorthagens skola,59.354239,18.098511
740046159,Hornsgatan/Rosenlundsgatan,59.317956,18.054959
740021658,Hornstull T-bana,59.315837,18.034021
740046252,Humlegården,59.337484,18.071701
740045961,Humlegården (på Karlavägen),59.340456,18.076381
740046024,Hälsingegatan,59.342797,18.043276
740046155,Högalidsgatan,59.318263,18.032335
740046229,Högalidskyrkan,59.317999,18.039924
740021667,Hötorget T-bana,59.335534,18.063538
740045983,Igeldammsgatan,59.33865,18.023773
740045985,Industrigatan,59.338064,18.027074
740066606,Industrivägen,59.354702,18.015517
740046044,Inedalsgatan,59.334386,18.035763
740046019,Jakobsgatan,59.330745,18.068317
740046166,Jaktgatan,59.355483,18.087515
740045997,Jarlaplan,59.344389,18.061911
740046125,John Ericssonsgatan,59.32869,18.037533
740045964,Jungfrugatan,59.341932,18.085955
740046005,Jägargatan,59.310887,18.048257
740046217,Kallskärsgatan,59.343082,18.09208
740046012,Kampementsbacken,59.345765,18.101895
740021650,Karlaplan T-bana,59.338811,18.090861
740046033,Karlavägen,59.338899,18.082272
740046022,Karlbergsvägen,59.342515,18.036718
740012127,Karolinska institutet Biomedicum,59.349968,18.024599
740046068,Karolinska institutet västra,59.346104,18.023186
740001179,Karolinska sjukhuset norra,59.353081,18.032153
740064376,Klara Mälarstrand,59.327719,18.057941
740046054,Klippgatan,59.313889,18.087942
740046086,Kornhamnstorg,59.322562,18.071059
740021663,Kristineberg T-bana,59.332812,18.003181
740046077,Kronobergsgatan (på Hantverkargatan),59.330898,18.031791
740045981,Kronobergsgatan (på Kungsholms strand),59.33667,18.035596
740046168,Krukmakargatan (på Timmermansgatan),59.3181,18.060133
740045956,Kungsbroplan,59.332498,18.048504
740046081,Kungsholms kyrka,59.328413,18.047883
740046080,Kungsholmstorg,59.329248,18.043193
740073532,Kungsträdgården,59.331073,18.072715
740021659,Kungsträdgården T-bana,59.330785,18.073293
740046240,Källhagen,59.333554,18.110966
740046146,Körsbärsvägen,59.348389,18.064779
740046079,Landstingshuset,59.329423,18.040358
740069180,Lignagatan,59.315708,18.037894
740004046,Liljeholmen T-bana,59.310707,18.023129
740024922,Liljeholmen Trekanten Spårv,59.314165,18.018313
740046108,Lilla Essingen,59.325516,18.008755
740073452,Lilla Essingen brygga,59.323137,18.008689
740045971,Lindarängsvägen,59.33949,18.112476
740046115,Lindhagensgatan,59.333919,18.015749
740046151,Lindvallsplan,59.31665,18.029032
740045960,Linnégatan,59.338668,18.074908
740046201,Ljusterögatan,59.308415,18.089243
740046141,Londonviadukten,59.314749,18.096782
740046228,Långholmsgatan,59.318046,18.03348
740046205,Malmvägen,59.347079,18.112938
740046231,Mandelparken,59.312036,18.098339
740021656,Mariatorget T-bana,59.316958,18.063308
740046112,Marieberg,59.328409,18.015532
740046095,Mariebergsgatan,59.331615,18.024
740045980,Mariedal,59.338831,18.018371
740063007,Mariedalsvägen,59.339576,18.015255
740065626,Marievik,59.310347,18.027391
740046008,Marmorgatan,59.311676,18.053561
740046199,Medborgarplatsen (Folkungag),59.314411,18.075013
740021654,Medborgarplatsen T-bana,59.314338,18.07355
740021715,Midsommarkransen T-bana,59.301853,18.012035
740046210,Mjärdgränd,59.30647,18.089552
740062695,Moa Martinsons torg,59.33946,18.005087
740046167,Motalavägen,59.353191,18.09633
740046242,Museiparken,59.33324,18.119065
740046085,Mälartorget,59.322989,18.068206
740070759,Nacka Henriksdalsviadukten,59.312021,18.109913
740046163,Nimrodsgatan,59.356248,18.098629
740046102,Nordenflychtsvägen,59.337609,18.007323
740046063,Norra Bantorget,59.335117,18.054898
740046058,Norra Stationsgatan (på Karlbergsvägen),59.34303,18.028612
740046038,Norrtullsgatan,59.346703,18.046451
740045963,Nybrogatan,59.339579,18.080823
740046198,Nytorgsgatan,59.314842,18.081172
740046211,Nätgränd,59.306057,18.085994
740046138,Observatoriegatan,59.340571,18.050583
740046028,Odengatan,59.346509,18.06548
740046103,Olof Dalins väg,59.33645,18.004172
740045969,Oxenstiernsgatan,59.337363,18.10226
740046124,Pilgatan,59.328585,18.03895
740046126,Pipersgatan,59.331123,18.047482
740046224,Pokalvägen,59.317946,18.022529
740046078,Polhemsgatan,59.330067,18.035761
740046120,Pontonjärgatan,59.32943,18.029973
740046121,Pontonjärparken,59.328917,18.033682
740046109,Primusgatan,59.325724,18.002812
740045992,Radiohuset,59.335603,18.100208
740072737,Regeringsgatan,59.33592,18.066605
740046135,Renstiernas gata (på Bondegatan),59.313396,18.084817
740046084,Riddarhustorget,59.325616,18.066377
740046219,Rindögatan,59.347497,18.093309
740046230,Ringvägen,59.31819,18.050214
740020757,Ropsten T-bana,59.357299,18.102217
740046007,Rosenlund,59.309221,18.062584
740046027,Roslagsgatan,59.345304,18.060899
740046136,Roslagstull (på Ingemarsgatan),59.349398,18.058392
740045957,Ruddammen,59.352211,18.05879
740045962,Ruddammsparken,59.351897,18.063394
740046117,Runebergsplan,59.341721,18.070787
740021660,Rådhuset T-bana,59.3303,18.042067
740021666,Rådmansgatan T-bana,59.340573,18.058775
740045975,Rökubbsgatan,59.34484,18.109534
740045952,S:t Eriksgatan (Fleminggatan),59.334604,18.031418
740046023,S:t Eriksgatan (Karlbergsv),59.342437,18.038664
740021665,S:t Eriksplan T-bana,59.339655,18.036987
740034743,Saltsjökvarn brygga,59.315106,18.11114
740046145,Saltsjöqvarn,59.314325,18.11114
740045976,Sandhamnsplan,59.34679,18.107433
740045955,Scheelegatan,59.332814,18.045273
740045973,Sehlstedtsgatan,59.342228,18.112047
740074606,Sergels torg (på Sveavägen),59.334455,18.064627
740046189,Siargatan,59.312918,18.068959
740038313,Sickla udde,59.306457,18.108131
740021655,Skanstull T-bana,59.307853,18.076227
740045966,Skeppargatan,59.338411,18.08651
740046221,Skinnarviken,59.319711,18.043234
740046165,Skogvaktargatan,59.354909,18.100737
740046002,Slottsbacken,59.325909,18.075305
slussen,Slussen,59.321405,18.074082500000003
740046053,Sofiaskolan,59.313185,18.094288
740045586,Solna stadshus,59.359116,18.004583
740021647,Stadion T-bana,59.342967,18.0817
740046026,Stadsbiblioteket,59.344151,18.055425
740021662,Stadshagen T-bana,59.336964,18.017318
740046082,Stadshuset,59.327982,18.054146
740046091,Stickelbärsvägen,59.349896,18.064369
740014648,Stockholm Allmänna gränd brygg,59.324073,18.094563
740046212,Stockholm Barnängen,59.309768,18.097114
740046067,Stockholm Bellmansro,59.324171,18.110928
740046226,Stockholm Bergsunds strand,59.318337,18.026982
740004383,Stockholm C Klarabergsviadukte,59.331048,18.05651
stockholm-central,Stockholm Central / T-Centralen,59.33140266666667,18.060276333333334
740023844,Stockholm Central Vasagatan,59.33114,18.058502
740000001,Stockholm Centralstation,59.33014,18.058154
740001541,Stockholm Citytermin Kungsbron,59.333167,18.054471
740046036,Stockholm Djurgårdsbron,59.331807,18.092359
740046066,Stockholm Djurgårdsskolan,59.323214,18.105083
740046051,Stockholm Ersta sjukhus,59.315399,18.089905
740001174,Stockholm Frihamnen,59.341503,18.117975
740046046,Stockholm Glasbruksgatan,59.318142,18.080444
740046073,Stockholm Hagaplan,59.34795,18.030815
740045461,Stockholm Karl XII:s torg,59.329913,18.07334
740045457,Stockholm Kastellholmsbron,59.324079,18.087535
740037355,Stockholm Kungsträdgården,59.332788,18.070632
740018282,Stockholm Liljevalc Gröna Lund,59.325246,18.096786
740024929,Stockholm Luma,59.303997,18.093337
740039043,Stockholm Mariatorget,59.318884,18.062557
740045277,Stockholm Musikhögskolan,59.342993,18.081772
740024928,Stockholm Mårtensdal,59.302502,18.088478
740010947,Stockholm Nationalmuseum,59.3286,18.077066
740046031,Stockholm Nordiska museet/Vasa,59.329283,18.095511
740045994,Stockholm Norrmalmstorg,59.333224,18.072946
740045943,Stockholm Norrmalmstorg Spårv,59.333436,18.073663
740034770,Stockholm Nybrokajen,59.332067,18.076507
740019408,Stockholm Nybroplan,59.33273,18.076569
odenplan,Stockholm Odenplan,59.342922,18.04985
740046222,Stockholm Reimersholme,59.31789,18.021032
740034484,Stockholm Ropsten brygga,59.358322,18.106332
740046158,Stockholm Rosenlundsg/Hornsg,59.317445,18.0554
740046193,Stockholm Rosenlundsg/M Ladulå,59.311606,18.05865
740045261,Stockholm Rådhuset,59.330849,18.044107
740046061,Stockholm Sabbatsbergs sjukhus,59.339035,18.048513
740024926,Stockholm Sickla kaj,59.302766,18.103615
740024927,Stockholm Sickla udde,59.306249,18.108767
740046241,Stockholm Sjöhistoriska museet,59.333496,18.115233
740018281,Stockholm Skansen,59.324021,18.100587
740015538,Stockholm Skeppsholmen brygga,59.324984,18.089213
740020741,Stockholm Stadion,59.343753,18.07734
740046034,Stockholm Strandvägen,59.332621,18.093082
740020691,Stockholm Strömkajen,59.328788,18.07606
740045465,Stockholm Stureplan,59.335796,18.073276
740046065,Stockholm Styrmansgatan,59.331583,18.084664
740046037,Stockholm Sveaplan,59.349599,18.04986
740000765,Stockholm södra station,59.314172,18.064493
740045462,Stockholm Södra stn Rosenlunds,59.312899,18.057629
740045463,Stockholm Södra stn Swedenborg,59.314139,18.064842
740046233,Stockholm Tengdahlsgatan,59.310158,18.095367
740046106,Stockholm Viktor Rydbergs gata,59.32883,18.009233
740046154,Stockholm Västerbroplan,59.328189,18.021123
740018280,Stockholm Waldemarsudde,59.322578,18.111119
740045460,Stockholm Östasiatiska museet,59.326316,18.08085
740045464,Stockholm Östermalmstorg,59.33669,18.080682
740020750,Stockholm Östra station,59.346114,18.071713
740046011,Storskärsgatan,59.342098,18.097517
740046175,Storängsvägen,59.352001,18.084309
740046100,Strandbergsgatan,59.337639,18.009223
740045996,Surbrunnsgatan,59.346289,18.060033
740046089,Södermannagatan,59.309415,18.082917
740046092,Södersjukhuset,59.309968,18.056767
740046010,Tanto,59.310308,18.045901
740046083,Tegelbacken,59.328594,18.06241
740045999,Tegnérgatan (Birger Jarlsg),59.341539,18.064693
740046062,Tegnérgatan (Dalagatan),59.337472,18.050589
740011606,Tekniska Högskolan T-bana,59.345826,18.071711
740046218,Tessinparken,59.345196,18.093383
740021664,Thorildsplan T-bana,59.331814,18.015436
740046192,Timmermansgränd,59.312238,18.063645
740046047,Tjärhovsplan,59.316521,18.083287
740046074,Torsplan,59.3454,18.032881
740046122,Tullgårdsparken,59.305407,18.081051
740045965,Valhallavägen/Erik Dahlbergsgatan,59.341285,18.090623
740046029,Valhallavägen/Odengatan,59.34657,18.066117
740046041,Vanadisvägen,59.345787,18.045407
740046223,Varvsgatan (på Heleneborgsgatan),59.319344,18.038959
740046156,Varvsgatan (på Hornsgatan),59.316188,18.040807
740046060,Vasaparken,59.34165,18.045749
740046021,Vikingagatan,59.342342,18.032628
740046105,Vitalisvägen,59.329551,18.005888
740071516,Värtahamnen färjeterminal,59.350412,18.107766
740045967,Värtavägen,59.340187,18.093327
740021669,Västra Skogen T-bana,59.34748,18.003988
740046113,Wennerbergsgatan,59.328514,18.013061
740046107,Wivalliusgatan,59.326363,18.012306
740046160,Wollmar Yxkullsgatan (Rosenlundsgatan),59.315651,18.056318
740046169,Wollmar Yxkullsgatan (Timmermansgatan),59.316242,18.061082
740046039,Ynglingagatan,59.348847,18.046558
740021657,Zinkensdamm T-bana,59.317778,18.050151
740024921,Årsta Årstadal Spårv,59.30649,18.025559
740046048,Åsögatan (på Renstiernas gata),59.313966,18.084592
740046009,Åsötorget,59.311573,18.071926
740046172,Östermalms idrottsplats,59.347306,18.082113
740021651,Östermalmstorg T-bana,59.334973,18.074082
740045974,Östhammarsgatan,59.34294,18.110372
